paper_id,exam_year_roc,exam_year_ad,exam_code,paper_order,paper_code,paper_group,paper_title,included_subjects,duration_minutes,question_count,points_per_question,max_score,source_question_url,source_answer_url,is_published
110-2301,110,2021,110120,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0101&t=S,True
110-3301,110,2021,110120,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0201&t=S,True
110-4301,110,2021,110120,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0202&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0202&t=S,True
110-1301,110,2021,110120,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0301&t=S,True
111-2301,111,2022,111120,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0101&t=S,True
111-3301,111,2022,111120,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0201&t=S,True
111-4301,111,2022,111120,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0202&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0202&t=S,True
111-1301,111,2022,111120,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0301&t=S,True
112-2301,112,2023,112120,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0101&t=S,True
112-3301,112,2023,112120,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0201&t=S,True
112-4301,112,2023,112120,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0202&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0202&t=S,True
112-1301,112,2023,112120,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=112120&q=1&s=0301&t=S,True
113-2301,113,2024,113110,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0101&t=S,True
113-3301,113,2024,113110,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0201&t=S,True
113-4301,113,2024,113110,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0202&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0202&t=S,True
113-1301,113,2024,113110,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=113110&q=1&s=0301&t=S,True
114-2301,114,2025,114110,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0101&t=S,True
114-3301,114,2025,114110,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0201&t=S,True
114-4301,114,2025,114110,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0202&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0202&t=S,True
114-1301,114,2025,114110,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=114110&q=1&s=0301&t=S,True
