paper_id,exam_year_roc,exam_year_ad,exam_code,paper_order,paper_code,paper_group,paper_title,included_subjects,duration_minutes,question_count,points_per_question,max_score,source_question_url,source_answer_url,is_published
105-2301,105,2016,105110,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,70,2.142857,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0101&t=S,True
105-3301,105,2016,105110,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,74,2.162162,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0201&t=S,True
105-4301,105,2016,105110,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0301&t=S,True
105-1301,105,2016,105110,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,70,2.142857,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0401&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=105110&q=1&s=0401&t=S,True
106-2301,106,2017,106120,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,70,2.142857,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0101&t=S,True
106-3301,106,2017,106120,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,74,2.162162,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0201&t=S,True
106-4301,106,2017,106120,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0301&t=S,True
106-1301,106,2017,106120,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,70,2.142857,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0401&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=106120&q=1&s=0401&t=S,True
107-2301,107,2018,107120,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0101&t=S,True
107-3301,107,2018,107120,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0201&t=S,True
107-4301,107,2018,107120,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0301&t=S,True
107-1301,107,2018,107120,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0401&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=107120&q=1&s=0401&t=S,True
108-2301,108,2019,108120,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=108120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=108120&q=1&s=0101&t=S,True
108-3301,108,2019,108120,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=108120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=108120&q=1&s=0201&t=S,True
108-4301,108,2019,108120,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=108120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=108120&q=1&s=0301&t=S,True
108-1301,108,2019,108120,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=108120&q=1&s=0401&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=108120&q=1&s=0401&t=S,True
109-2301,109,2020,109120,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=109120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=109120&q=1&s=0101&t=S,True
109-3301,109,2020,109120,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=109120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=109120&q=1&s=0201&t=S,True
109-4301,109,2020,109120,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=109120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=109120&q=1&s=0301&t=S,True
109-1301,109,2020,109120,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=109120&q=1&s=0401&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=109120&q=1&s=0401&t=S,True
110-2301,110,2021,110120,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0101&t=S,True
110-3301,110,2021,110120,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0201&t=S,True
110-4301,110,2021,110120,3,4301,綜合法學(二),綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,"{公司法,保險法,票據法,證券交易法,強制執行法,法學英文}",80,70,2.0,140,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0301&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0301&t=S,True
110-1301,110,2021,110120,4,1301,綜合法學(一),綜合法學(一)（刑法、刑事訴訟法、法律倫理）,"{刑法,刑事訴訟法,法律倫理}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0401&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=110120&q=1&s=0401&t=S,True
111-2301,111,2022,111120,1,2301,綜合法學(一),綜合法學(一)（憲法、行政法、國際公法、國際私法）,"{憲法,行政法,國際公法,國際私法}",90,75,2.0,150,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0101&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0101&t=S,True
111-3301,111,2022,111120,2,3301,綜合法學(二),綜合法學(二)（民法、民事訴訟法）,"{民法,民事訴訟法}",100,80,2.0,160,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0201&t=Q,https://wwwq.moex.gov.tw/exam/wHandExamQandA_File.ashx?c=303&code=111120&q=1&s=0201&t=S,True
