paper_id,expected_question_count,extracted_question_count,answer_count,missing_question_text,missing_options,missing_answers,status
110-2301,75,75,75,0,0,0,pass
110-3301,80,80,80,0,0,0,pass
110-4301,70,70,70,0,0,0,pass
110-1301,75,75,75,0,0,0,pass
111-2301,75,75,75,0,0,0,pass
111-3301,80,80,80,0,0,0,pass
111-4301,70,70,70,0,0,0,pass
111-1301,75,75,75,0,0,0,pass
112-2301,75,75,75,0,0,0,pass
112-3301,80,80,80,0,0,0,pass
112-4301,70,70,70,0,0,0,pass
112-1301,75,75,75,0,0,0,pass
113-2301,75,75,75,0,0,0,pass
113-3301,80,80,80,0,0,0,pass
113-4301,70,70,70,0,0,0,pass
113-1301,75,75,75,0,0,0,pass
114-2301,75,75,75,0,0,0,pass
114-3301,80,80,80,0,0,0,pass
114-4301,70,70,70,0,0,0,pass
114-1301,75,75,75,0,0,0,pass
