exam_year_roc,paper_code,paper_title,subject_primary,subsubject_primary,question_type,question_count,first_question,last_question,total_points
105,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑事訴訟法,未分類,multiple_choice,4,67,70,12.0
105,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑事訴訟法,未分類,single_choice,19,27,45,38.0
105,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法,未分類,multiple_choice,6,61,66,18.0
105,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法,未分類,single_choice,26,1,26,52.0
105,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,法律倫理,未分類,single_choice,15,46,60,30.0
105,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際公法,未分類,single_choice,10,41,50,20.0
105,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際私法,未分類,single_choice,10,51,60,20.0
105,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法,未分類,multiple_choice,4,61,64,12.0
105,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法,未分類,single_choice,14,1,14,28.0
105,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,行政法,未分類,multiple_choice,6,65,70,18.0
105,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,行政法,未分類,single_choice,26,15,40,52.0
105,3301,綜合法學(二)（民法、民事訴訟法）,民事訴訟法,未分類,multiple_choice,4,71,74,12.0
105,3301,綜合法學(二)（民法、民事訴訟法）,民事訴訟法,未分類,single_choice,24,39,62,48.0
105,3301,綜合法學(二)（民法、民事訴訟法）,民法,親屬繼承,multiple_choice,3,68,70,9.0
105,3301,綜合法學(二)（民法、民事訴訟法）,民法,親屬繼承,single_choice,6,33,38,12.0
105,3301,綜合法學(二)（民法、民事訴訟法）,民法,財產法,multiple_choice,5,63,67,15.0
105,3301,綜合法學(二)（民法、民事訴訟法）,民法,財產法,single_choice,32,1,32,64.0
105,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,保險法,未分類,single_choice,10,16,25,20.0
105,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,公司法,未分類,single_choice,15,1,15,30.0
105,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,強制執行法,未分類,single_choice,10,46,55,20.0
105,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,法學英文,未分類,single_choice,15,56,70,30.0
105,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,票據法,未分類,single_choice,10,26,35,20.0
105,4301,綜合法學(二)（公司法、保險法、票據法、證券交易法、強制執行法、法學英文）,證券交易法,未分類,single_choice,10,36,45,20.0
106,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑事訴訟法,未分類,multiple_choice,4,67,70,12.0
106,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑事訴訟法,未分類,single_choice,19,27,45,38.0
106,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法,未分類,multiple_choice,6,61,66,18.0
106,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,刑法,未分類,single_choice,26,1,26,52.0
106,1301,綜合法學(一)（刑法、刑事訴訟法、法律倫理）,法律倫理,未分類,single_choice,15,46,60,30.0
106,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際公法,未分類,single_choice,10,41,50,20.0
106,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,國際私法,未分類,single_choice,10,51,60,20.0
106,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法,未分類,multiple_choice,4,61,64,12.0
106,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,憲法,未分類,single_choice,14,1,14,28.0
106,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,行政法,未分類,multiple_choice,6,65,70,18.0
106,2301,綜合法學(一)（憲法、行政法、國際公法、國際私法）,行政法,未分類,single_choice,26,15,40,52.0
106,3301,綜合法學(二)（民法、民事訴訟法）,民事訴訟法,未分類,multiple_choice,4,71,74,12.0
106,3301,綜合法學(二)（民法、民事訴訟法）,民事訴訟法,未分類,single_choice,24,39,62,48.0
106,3301,綜合法學(二)（民法、民事訴訟法）,民法,親屬繼承,multiple_choice,2,69,70,6.0
